#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAAS	NUP160	9606.ENSP00000209873	9606.ENSP00000367721	0	0	0	0	0.126	0.800	0.500	0.511	0.951
AATF	RRP7A	9606.ENSP00000477848	9606.ENSP00000321449	0	0	0	0	0.437	0.991	0	0.236	0.995
AATF	PDCD11	9606.ENSP00000477848	9606.ENSP00000358812	0	0	0	0	0.578	0.966	0	0.319	0.989
AATF	NCOA6	9606.ENSP00000477848	9606.ENSP00000363929	0	0	0	0	0.605	0.786	0	0.203	0.926
AATF	DDX52	9606.ENSP00000477848	9606.ENSP00000479504	0	0	0	0	0.870	0.497	0	0.612	0.972
ABCF1	MRPL21	9606.ENSP00000313603	9606.ENSP00000354580	0.046	0	0	0	0.195	0.752	0	0	0.793
ABHD12	FAAH	9606.ENSP00000365725	9606.ENSP00000243167	0	0	0	0	0.087	0	0	0.823	0.831
ABHD12	ABHD16A	9606.ENSP00000365725	9606.ENSP00000379282	0	0	0	0	0.060	0	0	0.852	0.855
ABHD16A	RNF5	9606.ENSP00000379282	9606.ENSP00000364235	0	0	0	0	0.068	0.516	0	0.535	0.772
ABHD16A	PRRC2A	9606.ENSP00000379282	9606.ENSP00000365201	0	0	0	0	0.095	0	0	0.741	0.755
ABHD16A	LST1	9606.ENSP00000379282	9606.ENSP00000365261	0	0	0	0	0.049	0	0	0.761	0.762
ABHD16A	ABHD12	9606.ENSP00000379282	9606.ENSP00000365725	0	0	0	0	0.060	0	0	0.852	0.855
ABHD16A	HM13	9606.ENSP00000379282	9606.ENSP00000381237	0	0	0	0	0.097	0.421	0	0.492	0.711
ABTB1	VARS1	9606.ENSP00000232744	9606.ENSP00000364815	0	0	0	0	0.053	0.796	0	0.074	0.805
ACACA	ACSS2	9606.ENSP00000483300	9606.ENSP00000253382	0.055	0	0	0	0.139	0.069	0.900	0.670	0.970
ACACA	MCAT	9606.ENSP00000483300	9606.ENSP00000290429	0.117	0	0	0	0.250	0	0.900	0.678	0.975
ACACA	PRKAG1	9606.ENSP00000483300	9606.ENSP00000323867	0.041	0	0	0	0.042	0.308	0.900	0.385	0.953
ACACA	SREBF1	9606.ENSP00000483300	9606.ENSP00000348069	0	0	0	0	0.083	0	0.750	0.927	0.981
ACACA	ACAT2	9606.ENSP00000483300	9606.ENSP00000356015	0.042	0	0	0	0.140	0	0.927	0.394	0.959
ACAD9	ETFB	9606.ENSP00000312618	9606.ENSP00000346173	0.070	0	0	0	0.353	0.463	0.233	0.475	0.846
ACAD9	NDUFAF3	9606.ENSP00000312618	9606.ENSP00000323076	0	0	0	0	0.057	0.994	0.500	0.546	0.998
ACAT2	ACSS2	9606.ENSP00000356015	9606.ENSP00000253382	0.055	0	0	0	0.289	0	0.918	0.351	0.959
ACAT2	TCP1	9606.ENSP00000356015	9606.ENSP00000317334	0.042	0	0	0	0.139	0	0	0.698	0.729
ACAT2	FDPS	9606.ENSP00000356015	9606.ENSP00000349078	0	0	0	0	0.530	0	0	0.651	0.829
ACAT2	ACACA	9606.ENSP00000356015	9606.ENSP00000483300	0.042	0	0	0	0.140	0	0.927	0.394	0.959
ACD	RTEL1	9606.ENSP00000483117	9606.ENSP00000353332	0	0	0	0	0.059	0	0.500	0.417	0.701
ACD	CTC1	9606.ENSP00000483117	9606.ENSP00000498499	0	0	0	0	0.049	0	0.720	0.677	0.906
ACO2	MRPS10	9606.ENSP00000216254	9606.ENSP00000053468	0	0	0	0	0.117	0.845	0	0.091	0.864
ACO2	UQCRC1	9606.ENSP00000216254	9606.ENSP00000203407	0	0	0	0	0.673	0.188	0	0.500	0.855
ACO2	DAP3	9606.ENSP00000216254	9606.ENSP00000357320	0	0	0	0	0.147	0.845	0	0.080	0.867
